"X1.subject"	"X1.activity"	"X1.experimenttype"	"X1.tBodyAcc.mean...X"	"X1.tBodyAcc.mean...Y"	"X1.tBodyAcc.mean...Z"	"X1.tBodyAcc.std...X"	"X1.tBodyAcc.std...Y"	"X1.tBodyAcc.std...Z"	"X1.tGravityAcc.mean...X"	"X1.tGravityAcc.mean...Y"	"X1.tGravityAcc.mean...Z"	"X1.tGravityAcc.std...X"	"X1.tGravityAcc.std...Y"	"X1.tGravityAcc.std...Z"	"X1.tBodyAccJerk.mean...X"	"X1.tBodyAccJerk.mean...Y"	"X1.tBodyAccJerk.mean...Z"	"X1.tBodyAccJerk.std...X"	"X1.tBodyAccJerk.std...Y"	"X1.tBodyAccJerk.std...Z"	"X1.tBodyGyro.mean...X"	"X1.tBodyGyro.mean...Y"	"X1.tBodyGyro.mean...Z"	"X1.tBodyGyro.std...X"	"X1.tBodyGyro.std...Y"	"X1.tBodyGyro.std...Z"	"X1.tBodyGyroJerk.mean...X"	"X1.tBodyGyroJerk.mean...Y"	"X1.tBodyGyroJerk.mean...Z"	"X1.tBodyGyroJerk.std...X"	"X1.tBodyGyroJerk.std...Y"	"X1.tBodyGyroJerk.std...Z"	"X1.tBodyAccMag.mean.."	"X1.tBodyAccMag.std.."	"X1.tGravityAccMag.mean.."	"X1.tGravityAccMag.std.."	"X1.tBodyAccJerkMag.mean.."	"X1.tBodyAccJerkMag.std.."	"X1.tBodyGyroMag.mean.."	"X1.tBodyGyroMag.std.."	"X1.tBodyGyroJerkMag.mean.."	"X1.tBodyGyroJerkMag.std.."	"X1.fBodyAcc.mean...X"	"X1.fBodyAcc.mean...Y"	"X1.fBodyAcc.mean...Z"	"X1.fBodyAcc.std...X"	"X1.fBodyAcc.std...Y"	"X1.fBodyAcc.std...Z"	"X1.fBodyAcc.meanFreq...X"	"X1.fBodyAcc.meanFreq...Y"	"X1.fBodyAcc.meanFreq...Z"	"X1.fBodyAccJerk.mean...X"	"X1.fBodyAccJerk.mean...Y"	"X1.fBodyAccJerk.mean...Z"	"X1.fBodyAccJerk.std...X"	"X1.fBodyAccJerk.std...Y"	"X1.fBodyAccJerk.std...Z"	"X1.fBodyAccJerk.meanFreq...X"	"X1.fBodyAccJerk.meanFreq...Y"	"X1.fBodyAccJerk.meanFreq...Z"	"X1.fBodyGyro.mean...X"	"X1.fBodyGyro.mean...Y"	"X1.fBodyGyro.mean...Z"	"X1.fBodyGyro.std...X"	"X1.fBodyGyro.std...Y"	"X1.fBodyGyro.std...Z"	"X1.fBodyGyro.meanFreq...X"	"X1.fBodyGyro.meanFreq...Y"	"X1.fBodyGyro.meanFreq...Z"	"X1.fBodyAccMag.mean.."	"X1.fBodyAccMag.std.."	"X1.fBodyAccMag.meanFreq.."	"X1.fBodyBodyAccJerkMag.mean.."	"X1.fBodyBodyAccJerkMag.std.."	"X1.fBodyBodyAccJerkMag.meanFreq.."	"X1.fBodyBodyGyroMag.mean.."	"X1.fBodyBodyGyroMag.std.."	"X1.fBodyBodyGyroMag.meanFreq.."	"X1.fBodyBodyGyroJerkMag.mean.."	"X1.fBodyBodyGyroJerkMag.std.."	"X1.fBodyBodyGyroJerkMag.meanFreq.."
1	5	1	0.28858451	-0.020294171	-0.13290514	-0.9952786	-0.98311061	-0.91352645	0.96339614	-0.14083968	0.11537494	-0.98524969	-0.98170843	-0.87762497	0.077996345	0.0050008031	-0.067830808	-0.99351906	-0.98835999	-0.99357497	-0.0061008489	-0.031364791	0.1077254	-0.98531027	-0.97662344	-0.99220528	-0.0991674	-0.055517369	-0.061985797	-0.99211067	-0.99251927	-0.99205528	-0.95943388	-0.9505515	-0.95943388	-0.9505515	-0.99330586	-0.99433641	-0.96895908	-0.96433518	-0.99424782	-0.99136761	-0.99478319	-0.9829841	-0.93926865	-0.99542175	-0.98313297	-0.90616498	0.2524829	0.13183575	-0.052050251	-0.99233245	-0.98716991	-0.98969609	-0.99582068	-0.99093631	-0.99705167	0.87038451	0.210697	0.26370789	-0.98657442	-0.98176153	-0.98951478	-0.98503264	-0.97388607	-0.99403493	-0.25754888	0.097947109	0.54715105	-0.95215466	-0.95613397	-0.08843612	-0.99372565	-0.99375495	0.34698853	-0.98013485	-0.96130944	-0.1289889	-0.99199044	-0.99069746	-0.074323027
1	5	1	0.27841883	-0.016410568	-0.12352019	-0.99824528	-0.97530022	-0.96032199	0.96656113	-0.14155127	0.10937881	-0.99741134	-0.98944741	-0.93163868	0.074006709	0.0057711041	0.029376633	-0.99554814	-0.98106363	-0.9918457	-0.01611162	-0.083893777	0.10058429	-0.98311996	-0.9890458	-0.98912123	-0.11050283	-0.044818731	-0.059242822	-0.98987256	-0.9972926	-0.993851	-0.97928915	-0.97605707	-0.97928915	-0.97605707	-0.99125349	-0.99169441	-0.98068314	-0.98375419	-0.9951232	-0.99610164	-0.99745072	-0.97685173	-0.97352267	-0.99868026	-0.97492981	-0.95543811	0.27130855	0.042863639	-0.014309755	-0.99503222	-0.98131147	-0.98973975	-0.99665235	-0.98208394	-0.99262682	0.60851352	-0.053675613	0.063148268	-0.97738671	-0.99253003	-0.98960578	-0.98490434	-0.98716807	-0.98978468	-0.048167435	-0.40160791	-0.068178329	-0.98085662	-0.97586576	-0.044149887	-0.99033549	-0.99196029	0.53206052	-0.98829555	-0.98332192	-0.27195846	-0.99585386	-0.99639947	0.15807454
1	5	1	0.27965306	-0.019467156	-0.11346169	-0.99537956	-0.96718701	-0.97894396	0.9668781	-0.14200984	0.10188392	-0.99957395	-0.99286582	-0.99291723	0.073635962	0.0031040366	-0.0090456308	-0.99074281	-0.98095561	-0.98968664	-0.031698294	-0.10233542	0.096126876	-0.97629211	-0.99355182	-0.98637871	-0.10848567	-0.042410306	-0.055828829	-0.98846185	-0.99563214	-0.99153184	-0.98370313	-0.98801962	-0.98370313	-0.98801962	-0.98853127	-0.9903969	-0.97631707	-0.98605146	-0.99340322	-0.99509104	-0.99359409	-0.97251146	-0.98330396	-0.99631281	-0.96550593	-0.97704932	0.12453124	-0.064610562	0.082676921	-0.9909937	-0.98164225	-0.98756628	-0.9912488	-0.98141476	-0.9904159	0.115434	-0.19343634	0.038254326	-0.97543322	-0.99371467	-0.9867557	-0.97664224	-0.99339895	-0.98732821	-0.21668507	-0.017264171	-0.11072029	-0.98779477	-0.98901548	0.25789914	-0.98928007	-0.99086668	0.66079504	-0.98925477	-0.98602772	-0.2127279	-0.9950305	-0.99512739	0.41450281
1	5	1	0.27917394	-0.026200646	-0.12328257	-0.99609149	-0.9834027	-0.9906751	0.96761519	-0.14397645	0.099850143	-0.99664558	-0.98139281	-0.97847643	0.077320614	0.020057642	-0.0098647722	-0.99269737	-0.98755275	-0.99349757	-0.043409983	-0.091386182	0.085537699	-0.9913848	-0.99240732	-0.98755418	-0.091169889	-0.03633262	-0.06046466	-0.9911194	-0.99664096	-0.99332889	-0.98654176	-0.98642135	-0.98654176	-0.98642135	-0.99307804	-0.9933808	-0.98205988	-0.98735112	-0.99550216	-0.9952666	-0.99549062	-0.98356972	-0.99107978	-0.99631211	-0.98324437	-0.99022911	0.029044377	0.080302267	0.18569468	-0.99444663	-0.98872722	-0.99135422	-0.99137827	-0.98692685	-0.99439076	0.035798053	-0.093035847	0.16809523	-0.98710958	-0.99360151	-0.98719126	-0.99281036	-0.99164605	-0.98867764	0.21686246	-0.13524536	-0.049727978	-0.98751866	-0.98674196	0.073581496	-0.99276892	-0.99169983	0.67892134	-0.9894128	-0.98783575	-0.035684195	-0.99522071	-0.99523693	0.40457253
1	5	1	0.27662877	-0.016569655	-0.11536185	-0.99813862	-0.98081727	-0.99048163	0.9682244	-0.14875022	0.094485896	-0.99842928	-0.98809824	-0.97874493	0.073444363	0.019121574	0.016779979	-0.99642017	-0.98835871	-0.9924549	-0.033960416	-0.074708034	0.077392035	-0.98518357	-0.99237812	-0.98740185	-0.090770099	-0.037632533	-0.058289319	-0.99135446	-0.99647298	-0.99451099	-0.99282715	-0.99127536	-0.99282715	-0.99127536	-0.99348	-0.99585371	-0.98520373	-0.98906257	-0.99580756	-0.99525804	-0.99728592	-0.98230099	-0.98836944	-0.99860647	-0.98012947	-0.99191496	0.18108977	0.057987891	0.55978632	-0.99629204	-0.98879002	-0.99062442	-0.99690254	-0.98860666	-0.99290652	0.2733502	0.079135382	0.29238418	-0.98244648	-0.9929838	-0.98866644	-0.98598182	-0.99195582	-0.98794433	-0.15334258	-0.088402726	-0.16223039	-0.99359085	-0.99006346	0.39431033	-0.99552281	-0.99438901	0.55905766	-0.99143303	-0.98905935	-0.27358201	-0.99509278	-0.99546483	0.087753013
1	5	1	0.27719877	-0.01009785	-0.10513725	-0.99733496	-0.99048681	-0.99542003	0.9679482	-0.14820997	0.091909715	-0.9989793	-0.98675389	-0.99730641	0.077932436	0.018684046	0.0093444336	-0.9948136	-0.98871446	-0.99226635	-0.028775508	-0.070393108	0.079012142	-0.9851808	-0.99211748	-0.98307675	-0.094247582	-0.043355261	-0.041935999	-0.99162156	-0.99601465	-0.99309059	-0.99429499	-0.99524897	-0.99429499	-0.99524897	-0.9930177	-0.99542431	-0.9858944	-0.98644027	-0.99527476	-0.99520498	-0.99665675	-0.9869395	-0.9927386	-0.9976438	-0.99226365	-0.99704592	0.15738377	0.31883523	0.60559943	-0.99485071	-0.98824433	-0.99015748	-0.995218	-0.9901788	-0.99306675	0.32883589	0.054771404	0.32094497	-0.98489022	-0.99278621	-0.9807784	-0.98528707	-0.99165953	-0.9853661	-0.36303968	-0.13323831	0.19483324	-0.99483599	-0.9952833	0.43796212	-0.99473292	-0.99515619	0.24690957	-0.99050002	-0.98586094	-0.29732906	-0.99514331	-0.9952387	0.01995331
1	5	1	0.27945388	-0.019640776	-0.11002215	-0.99692104	-0.96718593	-0.98311783	0.9679295	-0.14428214	0.093144628	-0.99933247	-0.98857468	-0.99201595	0.082170765	-0.01701467	-0.015798166	-0.99520561	-0.98483079	-0.98842507	-0.028600251	-0.083046734	0.095464555	-0.98817723	-0.98920571	-0.9791538	-0.097088606	-0.041589277	-0.044704559	-0.99041853	-0.99541459	-0.9904868	-0.9874657	-0.98274603	-0.9874657	-0.98274603	-0.9913143	-0.98944783	-0.98550069	-0.98462525	-0.99371877	-0.9952695	-0.99584913	-0.96761161	-0.98412325	-0.99746125	-0.96792578	-0.98288731	0.43226331	0.11041077	0.37958626	-0.99475512	-0.98324029	-0.98733724	-0.9962421	-0.98826343	-0.98790847	0.35640411	0.050785859	0.20893077	-0.98602735	-0.99049909	-0.97845604	-0.98878814	-0.98840583	-0.9811471	-0.30712543	-0.34567235	-0.079245503	-0.98213471	-0.98477295	0.21996177	-0.9878858	-0.99054611	0.29017664	-0.9882692	-0.98456854	-0.25703213	-0.99564148	-0.99463909	0.14584351
1	5	1	0.27743247	-0.030488303	-0.12536043	-0.99655926	-0.96672843	-0.98158533	0.96849148	-0.14670536	0.091708159	-0.99811827	-0.97295996	-0.97656878	0.072364228	0.0087478559	-0.0044681354	-0.99527281	-0.98129122	-0.99033964	-0.024200262	-0.07789261	0.094095607	-0.98910723	-0.98740324	-0.97851956	-0.10316236	-0.035546068	-0.063208931	-0.9911036	-0.99579433	-0.99073859	-0.97745766	-0.97599674	-0.97745766	-0.97599674	-0.99085085	-0.99038832	-0.98450563	-0.98683834	-0.99429068	-0.9952107	-0.99519276	-0.97429127	-0.98865193	-0.99727933	-0.96410195	-0.97807586	0.00077170101	-0.12296974	0.15723362	-0.99494703	-0.9807555	-0.99083807	-0.99612766	-0.98336934	-0.98816283	0.29494348	0.022930174	0.02694164	-0.98733016	-0.99001425	-0.98036083	-0.98960041	-0.9859172	-0.97968102	-0.088135904	-0.20811515	-0.075989386	-0.98218413	-0.9751195	-0.10976272	-0.98985144	-0.98979026	0.24979894	-0.98943061	-0.98706484	-0.19727152	-0.99562912	-0.99450684	0.13638192
1	5	1	0.27729342	-0.021750698	-0.12075082	-0.99732847	-0.96124532	-0.98367156	0.96848115	-0.15437401	0.085118255	-0.99778938	-0.9756451	-0.9689613	0.075284365	0.030762704	0.01121195	-0.99647892	-0.98005127	-0.99666607	-0.024831025	-0.066401639	0.077862982	-0.99088198	-0.99289135	-0.98724152	-0.1006944	-0.047715247	-0.067720045	-0.99241954	-0.99631178	-0.99395634	-0.98363087	-0.97751373	-0.98363087	-0.97751373	-0.99332542	-0.99288747	-0.98936978	-0.99091446	-0.99584954	-0.9955883	-0.99709991	-0.96820527	-0.99063224	-0.99736759	-0.95918148	-0.98005989	-0.027979677	0.15413523	0.16483929	-0.99669274	-0.98019053	-0.99630723	-0.99650656	-0.98128976	-0.99544136	0.28644948	0.15220008	0.25011504	-0.98909792	-0.99196691	-0.98402803	-0.99137591	-0.99351595	-0.98962879	-0.1840546	0.17672726	0.21279994	-0.9831308	-0.9766829	0.083767043	-0.99207263	-0.99289011	0.27234235	-0.99162928	-0.99175866	0.073417207	-0.99526037	-0.99600721	0.31403783
1	5	1	0.28058569	-0.0099602983	-0.10606516	-0.99480344	-0.9727584	-0.98624387	0.96841804	-0.15630201	0.08087447	-0.99736219	-0.99050162	-0.99674235	0.076369318	0.012518906	0.0030843751	-0.99115561	-0.9692003	-0.98861504	-0.0234154	-0.070925683	0.078975843	-0.98493784	-0.98730376	-0.98084404	-0.098429383	-0.043540216	-0.048562914	-0.98391251	-0.99307848	-0.98439956	-0.98677197	-0.98670243	-0.98677197	-0.98670243	-0.98538815	-0.98364308	-0.98452436	-0.98026379	-0.98979927	-0.9907352	-0.99351933	-0.97031864	-0.98609566	-0.99538845	-0.97479378	-0.98653557	0.0375992	0.16076246	0.25978658	-0.99153425	-0.97084854	-0.98677551	-0.99146811	-0.96931831	-0.98897477	0.21177858	-0.041894735	0.029956934	-0.98177767	-0.98800114	-0.97745298	-0.98586913	-0.9868624	-0.98378763	-0.17276785	-0.2490848	-0.060978402	-0.98499403	-0.98902313	0.42582119	-0.98231683	-0.98405698	0.25088355	-0.98478793	-0.98038779	-0.13996636	-0.99098121	-0.99059941	0.2673825
